20,4,"D. G. Ruparel College of Arts, Science and Commerce",18,3.9,0.77,2.2,http://www.ruparel.edu/,https://www.shiksha.com/college/d-g-ruparel-college-of-arts-science-and-commerce-mahim-mumbai-2487,https://images.shiksha.com/mediadata/images/1221127336phplm53Ek_s.jpeg,2.8,4.3,4.1,4.4,4
21,4,"Mithibai College of Arts, Chauhan Institute of Science & Amrutben Jivanlal College of Commerce and Economics",11,4.6,0.2,3.5,http://www.mithibai.ac.in/,https://www.shiksha.com/college/mithibai-college-of-arts-chauhan-institute-of-science-amrutben-jivanlal-college-of-commerce-and-economics-vile-parle-west-mumbai-48353,https://images.shiksha.com/mediadata/images/1571054148php4wf8q4.png,4,4.8,4.4,4.8,4.8
22,5,NMIMS Kirit P. Mehta School of Law,0,4.1,10,6,https://law.nmims.edu/,https://www.shiksha.com/college/nmims-kirit-p-mehta-school-of-law-mumbai-vile-parle-west-46482,https://images.shiksha.com/mediadata/images/1584339096phpZnALra.png,4,3.8,4.5,3.8,4.3
23,5,Government Law College,12,3.7,0.19,4,http://www.glcmumbai.com/,https://www.shiksha.com/college/government-law-college-churchgate-mumbai-13416,https://images.shiksha.com/mediadata/images/1473328620phpIxyZzi.jpeg,3.8,3.2,3.2,3.6,4.7
24,5,Amity University,0,4.4,3.87,4,https://www.amity.edu/mumbai/,https://www.shiksha.com/university/amity-university-mumbai-46905,https://images.shiksha.com/mediadata/images/1586963020php6oeVhe.jpeg,4.2,4.5,4.5,4.6,4.1
25,5,"Advocate Balasaheb Apte College of Law, People''s Education Society''s",0,4.7,1.05,N/A,http://www.abalawcollege.edu.in/,https://www.shiksha.com/college/advocate-balasaheb-apte-college-of-law-people-s-education-society-s-dadar-west-mumbai-36367,https://images.shiksha.com/mediadata/images/1413538222phpa6x5WX.png,4.5,5,4.5,5,4.5
26,5,"Dr. Ambedkar College of Law, People''s Education Society",24,4.7,0.22,3,https://www.ambedkarcollege.net/,https://www.shiksha.com/college/dr-ambedkar-college-of-law-people-s-education-society-wadala-mumbai-44107,https://images.shiksha.com/mediadata/images/1455088966php2JCBhe.jpeg,4.5,5,5,4,5
27,6,H.R. college of commerce and economics,14,4.1,0.3,4,https://www.hrcollege.edu/,https://www.shiksha.com/college/h-r-college-of-commerce-and-economics-churchgate-mumbai-49362,https://images.shiksha.com/mediadata/images/1479463527phpm2TPKM.png,4.3,3.2,4.2,4.3,4.4
28,6,Vidyalankar school of information technology,0,4.5,0.59,2.55,https://vidyalankar.com/vidyalankar-school-of-information-technology/,https://www.shiksha.com/college/vidyalankar-school-of-information-technology-wadala-mumbai-34768,https://images.shiksha.com/mediadata/images/1474621677php7Qtt9v.png,4.1,4.9,4.4,4.4,4.2
29,6,"Mithibai College of Arts, Chauhan Institute of Science & Amrutben Jivanlal College of Commerce and Economics",11,4.6,0.52,3.5,http://www.mithibai.ac.in/,https://www.shiksha.com/college/mithibai-college-of-arts-chauhan-institute-of-science-amrutben-jivanlal-college-of-commerce-and-economics-vile-parle-west-mumbai-48353,https://images.shiksha.com/mediadata/images/1571054148php4wf8q4.png,4,4.8,4.4,4.8,4.8
30,6,Narsee Monjee College of Commerce & Economics,9,4.4,0.46,6,https://nmcollege.in/,https://www.shiksha.com/college/narsee-monjee-college-of-commerce-economics-mumbai-vile-parle-west-48821,https://images.shiksha.com/mediadata/images/1586174145phpftxZee.png,4.1,4.3,4.1,4.5,4.8
31,6,Sydenham College of Commerce and Economics,19,4,0.3,N/A,http://www.sydenham.ac.in/,https://www.shiksha.com/college/sydenham-college-of-commerce-and-economics-churchgate-mumbai-2129,https://images.shiksha.com/mediadata/images/1224759476phpIfj2ev_m.jpeg,3.9,3.8,4.3,3.8,4.4
32,7,Thakur college of science and commerce,0,4,1.68,5.9,http://tcsc.org.in/,https://www.shiksha.com/college/thakur-college-of-science-and-commerce-kandivali-east-mumbai-4503,https://images.shiksha.com/mediadata/images/1571811363phpzDJT2V.jpeg,3.4,4.5,4,4.2,3.8
33,7,St. Xavier's College,6,4.4,0.62,4,http://xaviers.edu/main/,https://www.shiksha.com/college/st-xavier-s-college-mumbai-mahapalika-marg-1184,https://images.shiksha.com/mediadata/images/1569476404phpVbMtzr.jpeg,4,4.4,4.3,4.6,4.6
34,7,"S K Somaiya Degree College of Arts, Science and Commerce",39,4.3,0.37,2.5,https://sksasc.somaiya.edu/sksasc/,https://www.shiksha.com/college/s-k-somaiya-degree-college-of-arts-science-and-commerce-vidya-vihar-mumbai-52980,https://images.shiksha.com/mediadata/images/1590399379phpWs2NyV.jpeg,3.7,4.6,4,4.6,4.3
35,7,S.P. mandali's ramnarain ruia autonomous college,21,4.1,0.52,3,https://www.ruiacollege.edu/,https://www.shiksha.com/college/s-p-mandali-s-ramnarain-ruia-autonomous-college-matunga-east-mumbai-48342,https://images.shiksha.com/mediadata/images/1454909288phpBvXXKX.jpeg,3,4.2,4.1,4.4,4.6
36,7,Jai Hind College,25,4.5,0.59,3.5,http://www.jaihindcollege.com/,https://www.shiksha.com/college/jai-hind-college-churchgate-mumbai-1199,https://images.shiksha.com/mediadata/images/1571053689phpPN1isJ.jpeg,4,4.5,4.4,4.8,4.7
37,8,H.R. college of commerce and economics,14,4.1,0.39,5,https://www.hrcollege.edu/,https://www.shiksha.com/college/h-r-college-of-commerce-and-economics-churchgate-mumbai-49362,https://images.shiksha.com/mediadata/images/1479463527phpm2TPKM.png,4.3,3.2,4.2,4.3,4.4
38,8,"Mithibai College of Arts, Chauhan Institute of Science & Amrutben Jivanlal College of Commerce and Economics",11,4.6,0.16,3.5,http://www.mithibai.ac.in/,https://www.shiksha.com/college/mithibai-college-of-arts-chauhan-institute-of-science-amrutben-jivanlal-college-of-commerce-and-economics-vile-parle-west-mumbai-48353,https://images.shiksha.com/mediadata/images/1571054148php4wf8q4.png,4,4.8,4.4,4.8,4.8
39,8,Narsee Monjee College of Commerce & Economics,9,4.4,0.13,4,https://nmcollege.in/,https://www.shiksha.com/college/narsee-monjee-college-of-commerce-economics-mumbai-vile-parle-west-48821,https://images.shiksha.com/mediadata/images/1586174145phpftxZee.png,4.1,4.3,4.1,4.5,4.8
40,8,"R.A. Podar College of Commerce and Economics, S.P. Mandali",10,4.2,0.13,2.95,https://www.rapodar.ac.in/,https://www.shiksha.com/college/r-a-podar-college-of-commerce-and-economics-s-p-mandali-matunga-east-mumbai-50404,https://www.rapodar.ac.in/images/logo.png,4.1,3.8,4.3,4.3,4.5
41,8,St. Xavier's College,6,4.4,0.15,2.4,http://xaviers.edu/main/,https://www.shiksha.com/college/st-xavier-s-college-mumbai-mahapalika-marg-1184,https://images.shiksha.com/mediadata/images/1569476404phpVbMtzr.jpeg,4,4.4,4.3,4.6,4.6
42,9,"S K Somaiya Degree College of Arts, Science and Commerce",39,4.3,0.23,N/A,https://sksasc.somaiya.edu/sksasc/,https://www.shiksha.com/college/s-k-somaiya-degree-college-of-arts-science-and-commerce-vidya-vihar-mumbai-52980,https://images.shiksha.com/mediadata/images/1590399379phpWs2NyV.jpeg,3.7,4.6,4,4.6,4.3
43,9,St. Xavier's College,6,4.4,0.14,4.8,http://xaviers.edu/main/,https://www.shiksha.com/college/st-xavier-s-college-mumbai-mahapalika-marg-1184,https://images.shiksha.com/mediadata/images/1569476404phpVbMtzr.jpeg,4,4.4,4.3,4.6,4.6
44,9,Universal Business School,29,4.1,8.9,4.5,https://universalbusinessschool.com/,https://www.shiksha.com/college/universal-business-school-karjat-mumbai-33323,https://images.shiksha.com/mediadata/images/1471600512phpffOf92.png,3.9,4.2,4.3,4.2,3.9
45,9,S.P. mandali's ramnarain ruia autonomous college,21,4.1,0.15,N/A,https://www.ruiacollege.edu/,https://www.shiksha.com/college/s-p-mandali-s-ramnarain-ruia-autonomous-college-matunga-east-mumbai-48342,https://images.shiksha.com/mediadata/images/1454909288phpBvXXKX.jpeg,3,4.2,4.1,4.4,4.6
46,9,Nagindas Khandwala college,0,3.9,0.16,2.16,https://www.nkc.ac.in/,https://www.shiksha.com/college/nagindas-khandwala-college-malad-west-mumbai-64527,https://www.nkc.ac.in/images/logo-nkc.png,3.3,3.3,4.4,4,4.4
47,10,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION - [IHM],3,4.3,2.86,2,http://www.ihmctan.edu/,https://www.shiksha.com/college/ihm-mumbai-institute-of-hotel-management-catering-technology-applied-nutrition-dadar-west-917,https://images.shiksha.com/mediadata/images/1572331846phpLIqlUi.png,4.4,3.8,4.4,4.3,4.5
48,10,RIZVI COLLEGE OF HOTEL MANAGEMENT,41,4.5,3.6,2.5,http://rizvihmct.com/,https://www.shiksha.com/college/rizvi-college-of-hotel-management-bandra-west-mumbai-28121,http://rizvihmct.com/wp-content/uploads/2016/08/RIZVI-COLLEGE-OF-HOTEL-MANMT-LOGO-NEW.png,4.3,4.7,4.5,4.5,4.3
